customer_id,name,email,phone,country
93810,Patrick Sanchez,jillrhodes@example.net,2965001338,Sri Lanka
15695,Kimberly Dudley,smiller@example.net,16599310341316,Denmark
14207,Jennifer Jones,jason76@example.net,7245238849696,Nepal
18326,Kyle Mcdonald,tasha01@example.net,16454146270,Netherlands Antilles
52487,Brian Cox DVM,john39@example.org,6718822782,Czech Republic
18392,Kevin Hall,adrianzimmerman@example.org,5104518347,Comoros
80292,Javier Ramirez,nancyjones@example.net,9085013267,Mozambique
81066,Erik Williams,hshaw@example.org,3815219136,Oman
49321,Timothy Walls,ellisyolanda@example.org,7836842513,Guam
36685,Sarah Wagner,rebecca01@example.net,340405242786801,Cape Verde
41029,Vanessa Cochran,vjohnson@example.com,534221607337543,Botswana
88193,Nicholas Edwards,cruzbarbara@example.com,7607883561,Wallis and Futuna
59695,Stephanie Gilbert,richard04@example.com,9694957773,Korea
64321,Laura Higgins,psnyder@example.org,140196328708317,Dominican Republic
45992,Micheal Young,luis81@example.org,9368231665,Antarctica (the territory South of 60 deg S)
60968,Michael Powell,marycalhoun@example.net,19064990162,Bangladesh
95426,Andre Wright,howelljohn@example.com,1219637452991241,Guam
11658,Samantha Garcia,cynthia72@example.com,6847987769,Guam
46655,Meredith Hill,blackjames@example.org,00156768377701436,Zambia
34267,Parker Hill,tina34@example.org,9243082400842,Sudan
83772,Angela Wright,yobrien@example.net,2863774964,Belgium
30585,Juan Moore,mhayes@example.com,50344471349361,Lao People's Democratic Republic
49857,Terri Mason,mkim@example.org,959940139904902,Paraguay
23710,Erin Steele,elaine68@example.org,2155451680876,Micronesia
63476,Willie Durham,pvalentine@example.org,44834677378263,Honduras
69682,Sheila Pollard,ashleyhall@example.com,7573662702,Niue
73956,Amanda Jones,wendy16@example.org,001517824005045562,Equatorial Guinea
97404,Robert Santana,charleslandry@example.net,66467436713695,Seychelles
96400,Breanna Davis,parkerscott@example.net,6214456232858,Heard Island and McDonald Islands
98188,Deborah James,daniel37@example.org,12856931746120,Qatar
80804,Patrick Moore,fpena@example.net,840653773515850,Cote d'Ivoire
86858,Sergio Murphy,kristinacarlson@example.com,7285421020,Korea
76039,Luis Acosta,stephen00@example.com,76187711592124,Turkey
82264,Cindy Hayes,robertwilcox@example.com,315765452711116,Georgia
56090,Jordan Moore,gwalker@example.com,12516493689,Guam
30631,Nathan Frank,wareeric@example.net,6145767976,Gabon
37686,Pamela Roberts,smithjulie@example.org,2688388516,Uruguay
57428,Ryan Sanchez,zwarren@example.com,00145355218188355,Norfolk Island
49691,Leslie Bell,collinsshannon@example.org,9415199867980,New Zealand
30807,Thomas Hughes,erika05@example.org,818464492519254,Guam
73736,Zachary Moore,megan18@example.net,00198025929622292,Yemen
84766,Mrs. Diane Reyes,mburch@example.net,6403758181,Antarctica (the territory South of 60 deg S)
51770,Sara Santos,devinmitchell@example.com,0018273790104328,Morocco
41711,Doris Smith,john62@example.net,1818751888880670,Kyrgyz Republic
72722,Robin Brown,mjohnson@example.org,2055486874,Luxembourg
75211,Robert Adams,acostachristian@example.net,9848511544,Slovenia
67432,Austin Osborne,michael90@example.net,7758571928,Burkina Faso
19706,Steven Wallace,cochrantammy@example.com,1451588442258313,Seychelles
63665,Angela Compton,coleerin@example.com,4896226801,Chile
87569,Brittany Hopkins,megan90@example.org,9096439690,Ghana
55268,Bianca Wood,floressteven@example.com,7325104696325,Turkmenistan
95755,Donna Smith,jordannicole@example.net,3658060983584,Aruba
15100,Gary Wells,ghernandez@example.org,695926949588879,Cameroon
99224,Kenneth Graves,andrewedwards@example.org,836789702838578,Guinea
98587,Michelle Schneider,chelsea33@example.com,17436443757,Qatar
45601,Luis Matthews,brentstein@example.org,193091657120826,Tunisia
47941,Alexandra Bradley,hebertmatthew@example.com,168847287431527,Eritrea
60275,Paul Finley,brandi90@example.com,175350174268414,Tunisia
20730,Kelsey Cox,brownamy@example.net,5989225871,Guatemala
18357,Amy Shannon,ajohnson@example.org,001826456766182512,Serbia
24790,Matthew Mendez,allencarlos@example.net,5792030673,Japan
82856,William David DDS,heather62@example.com,42887334270866,Monaco
38444,Sean Cook,lewisjames@example.net,6738936385,Saint Vincent and the Grenadines
29126,Juan Silva,mphillips@example.com,9699378547,Canada
11198,Jesus Brown,bhopkins@example.org,12868008484,Ecuador
39603,Ronald Miller,davisnicholas@example.net,50092176591803,Sao Tome and Principe
62205,Elizabeth Elliott,irhodes@example.com,82178501631599,Hong Kong
93086,James Ward,smithkyle@example.com,001341721267888610,Lithuania
29127,Jeffrey Fisher,xpatton@example.com,2798937124,North Macedonia
74357,Rachael Nguyen,lisa65@example.org,0019396828073,Lesotho
86315,Jonathon Knapp,ystephens@example.com,0017898113529096,Canada
